question,answer,type
What is the full name of the Vice Chancellor?,"Freida A. Brown, Ph.D.",original
Where is the Vice Chancellor's Office located?,In the Administration Block.,original
What extension reaches the Vice Chancellor's Office?,Extension 411.,original
Does the Vice Chancellor's Office offer fax services?,"Yes, at a charge.",original
Where is the Finance Office located?,In the Administration Block.,original
What extensions reach the Finance Office?,Extensions 403 or 224.,original
Does the Finance Office accept cash for tuition?,No cash payments are accepted for tuition or most fees.,original
What is the maximum cash amount allowed for special payments?,Ksh 1 000.,original
What interest is charged on outstanding balances?,1.5 % per month.,original
To whom should checks be made payable?,United States International University- Nairobi.,original
What is the penalty for a bounced cheque?,"10 % of face value, max Ksh 5 000.",original
What are the three banks for deposits?,"CBA Upper-Hill, Co-op House, and SCB Kenyatta Avenue.",original
What is the KES account number at CBA?,6438840014,original
What is the USD account number at CBA?,6462210014,original
What is the SWIFT code for CBA?,CBAFKENX.,original
What is the intermediary bank for USD wires?,"HSBC, New York.",original
What is the M-PESA Paybill number?,516900,original
What should the M-PESA account number be?,Student ID and Names.,original
What cards are accepted at the cashiers?,"Visa, MasterCard, JCB, Visa Electron.",original
Who qualifies for fee instalments?,Kenyan continuing students (not first-time freshmen).,original
What documents are needed for a payment plan?,"Bank statement, utility bill, PIN, sponsor ID.",original
When must payment plans be set up?,Within the first two weeks of the semester.,original
What does the Finance Office process for graduates?,Caution-money and tuition refunds.,original
Where is the cafeteria located?,Inside the university compound.,original
How are meals in the cafeteria paid for?,PAYE or meal-plan basis; choice is final.,original
What are Monday -Saturday breakfast hours?,7:30 am- 9:30 am.,original
What are Sunday breakfast hours?,From 9:30 am- 2:00 pm.,original
What are Monday -Saturday lunch hours?,12:00 pm- 3:00 pm.,original
What are Sunday lunch hours?,12:00 pm- 2:00 pm.,original
Are snacks available on Sunday after lunch?,"Yes, 2:00 pm- 6:00 pm.",original
What are Monday -Thursday snack-bar hours?,10:00 am- 8:00 pm.,original
What are Friday -Saturday snack-bar hours?,10:00 am- 6:00 pm.,original
Where is the upstairs restaurant?,Above the cafeteria.,original
When is the upstairs restaurant open?,"12:00 pm- 2:00 pm, Mon -Thu.",original
Is smoking allowed in the cafeteria?,No; smoking is prohibited campus-wide.,original
Can outside food be brought into the cafeteria?,No.,original
Can students use another student's ID in the cafeteria?,No; disciplinary sanctions apply.,original
What extensions reach the cafeteria?,"302, 208, 293.",original
Are students allowed to use staff buses?,No; separate contracted transport for students.,original
Who prepares student transport schedules?,"Contracted company & SAC, based on timetables.",original
Is there transport during vacation?,No.,original
What extensions reach the Transport Office?,273 or 584.,original
What extension reaches the contracted transport company?,228,original
Where is the Head of Security located?,Maintenance area opposite the cafeteria.,original
What extension reaches the Head of Security?,Extension 583,original
What emergency security extensions exist?,266 or 461.,original
What is the campus speed limit?,10 KPH.,original
Where are lost items first taken?,Administration Block Security desk.,original
Is overnight parking allowed without permission?,No; security clearance required.,original
Is photography allowed freely on campus?,Only for academic purposes with lecturer permission.,original
Who should a crime victim report to?,"DVC Student Affairs, Director of Operations, Dean of Students or Head of Security.",original
